year,release_year,rate,real,nominal,inflation
3,2025,OMB,0.015,0.037,0.022
4,2025,OMB,0.0155,0.0375,0.022
5,2025,OMB,0.016,0.038,0.022
6,2025,OMB,0.017,0.0385,0.0215
7,2025,OMB,0.018,0.039,0.021
8,2025,OMB,0.0183333333,0.0396666667,0.0213333333
9,2025,OMB,0.0186666667,0.0403333333,0.0216666667
10,2025,OMB,0.019,0.041,0.022
11,2025,OMB,0.0193,0.0413,0.022
12,2025,OMB,0.0196,0.0416,0.022
13,2025,OMB,0.0199,0.0419,0.022
14,2025,OMB,0.0202,0.0422,0.022
15,2025,OMB,0.0205,0.0425,0.022
16,2025,OMB,0.0208,0.0428,0.022
17,2025,OMB,0.0211,0.0431,0.022
18,2025,OMB,0.0214,0.0434,0.022
19,2025,OMB,0.0217,0.0437,0.022
20,2025,OMB,0.022,0.044,0.022
21,2025,OMB,0.0221,0.044,0.0219
22,2025,OMB,0.0222,0.044,0.0218
23,2025,OMB,0.0223,0.044,0.0217
24,2025,OMB,0.0224,0.044,0.0216
25,2025,OMB,0.0225,0.044,0.0215
26,2025,OMB,0.0226,0.044,0.0214
27,2025,OMB,0.0227,0.044,0.0213
28,2025,OMB,0.0228,0.044,0.0212
29,2025,OMB,0.0229,0.044,0.0211
30,2025,OMB,0.023,0.044,0.021
