release year,reeds,case,rate,Year,kg CO2 eq / MWh
2024,US,REF,lrm,2024,360.2
2024,US,REF,lrm,2025,324.25
2024,US,REF,lrm,2026,288.3
2024,US,REF,lrm,2027,255.65
2024,US,REF,lrm,2028,223
2024,US,REF,lrm,2029,219.3
2024,US,REF,lrm,2030,215.6
2024,US,REF,lrm,2031,219.1
2024,US,REF,lrm,2032,222.6
2024,US,REF,lrm,2033,226.1
2024,US,REF,lrm,2034,229.6
2024,US,REF,lrm,2035,233.1
2024,US,REF,lrm,2036,234.46
2024,US,REF,lrm,2037,235.82
2024,US,REF,lrm,2038,237.18
2024,US,REF,lrm,2039,238.54
2024,US,REF,lrm,2040,239.9
2024,US,REF,lrm,2041,236.62
2024,US,REF,lrm,2042,233.34
2024,US,REF,lrm,2043,230.06
2024,US,REF,lrm,2044,226.78
2024,US,REF,lrm,2045,223.5
2024,US,REF,lrm,2046,220.5
2024,US,REF,lrm,2047,217.5
2024,US,REF,lrm,2048,214.5
2024,US,REF,lrm,2049,211.5
2024,US,REF,lrm,2050,208.5
2024,US,REF,lrm,2051,208.5
2024,US,REF,lrm,2052,208.5
2024,US,REF,lrm,2053,208.5
2024,US,REF,lrm,2054,208.5
2024,US,REF,lrm,2055,208.5
2024,US,REF,lrm,2056,208.5
2024,US,REF,lrm,2057,208.5
2024,US,REF,lrm,2058,208.5
2024,US,REF,lrm,2059,208.5
2024,US,REF,lrm,2060,208.5
2024,US,REF,lrm,2061,208.5
2024,US,REF,lrm,2062,208.5
2024,US,REF,lrm,2063,208.5
2024,US,REF,lrm,2064,208.5
2024,US,REF,lrm,2065,208.5
2024,US,REF,lrm,2066,208.5
2024,US,REF,lrm,2067,208.5
