State,Division,Region
AK,Pacific,West
AL,East South Central,South
AR,West South Central,South
AZ,Mountain,West
CA,Pacific,West
CO,Mountain,West
CT,New England,Northeast
DC,South Atlantic,South
DE,South Atlantic,South
FL,South Atlantic,South
GA,South Atlantic,South
HI,Pacific,West
IA,West North Central,Midwest
ID,Mountain,West
IL,East North Central,Midwest
IN,East North Central,Midwest
KS,West North Central,Midwest
KY,East South Central,South
LA,West South Central,South
MA,New England,Northeast
MD,South Atlantic,South
ME,New England,Northeast
MI,East North Central,Midwest
MN,West North Central,Midwest
MO,West North Central,Midwest
MS,East South Central,South
MT,Mountain,West
NC,South Atlantic,South
ND,West North Central,Midwest
NE,West North Central,Midwest
NH,New England,Northeast
NJ,Middle Atlantic,Northeast
NM,Mountain,West
NV,Mountain,West
NY,Middle Atlantic,Northeast
OH,East North Central,Midwest
OK,West South Central,South
OR,Pacific,West
PA,Middle Atlantic,Northeast
RI,New England,Northeast
SC,South Atlantic,South
SD,West North Central,Midwest
TN,East South Central,South
TX,West South Central,South
UT,Mountain,West
VA,South Atlantic,South
VT,New England,Northeast
WA,Pacific,West
WI,East North Central,Midwest
WV,South Atlantic,South
WY,Mountain,West
